created_date,dominant_topic,dominant_topic_keywords,count
2021-04-25,topic2,"edwardbarber, like, love, edward, barber, day, good, get, happy, life",618
2021-04-08,topic4,"btc, cute, chef, crypto, pretty, greed, april, silver, bistro, good",62
2021-04-01,topic2,"edwardbarber, like, love, edward, barber, day, good, get, happy, life",568
2021-04-17,topic2,"edwardbarber, like, love, edward, barber, day, good, get, happy, life",686
2021-04-09,topic1,"sun, view, collection, food, sat, women, full, field, available, interpol",86
2021-04-08,topic0,"whatshappeninginmyanmar, aprcoup, posted, photo, military, terrorists, junta, abducted, myanmar, amp",327
2021-04-19,topic3,"like, people, amp, see, need, please, get, know, help, really",419
2021-04-21,topic5,"free, zerowaste, part, different, cool, future, nftcollectors, nftcommunity, city, miss",93
2021-04-25,topic3,"like, people, amp, see, need, please, get, know, help, really",424
2021-04-27,topic0,"whatshappeninginmyanmar, aprcoup, posted, photo, military, terrorists, junta, abducted, myanmar, amp",395
2021-04-28,topic2,"edwardbarber, like, love, edward, barber, day, good, get, happy, life",504
2021-04-30,topic0,"whatshappeninginmyanmar, aprcoup, posted, photo, military, terrorists, junta, abducted, myanmar, amp",252
2021-04-15,topic4,"btc, cute, chef, crypto, pretty, greed, april, silver, bistro, good",88
2021-04-24,topic5,"free, zerowaste, part, different, cool, future, nftcollectors, nftcommunity, city, miss",29
2021-04-22,topic4,"btc, cute, chef, crypto, pretty, greed, april, silver, bistro, good",104
2021-04-22,topic0,"whatshappeninginmyanmar, aprcoup, posted, photo, military, terrorists, junta, abducted, myanmar, amp",340
2021-04-12,topic1,"sun, view, collection, food, sat, women, full, field, available, interpol",53
2021-04-28,topic1,"sun, view, collection, food, sat, women, full, field, available, interpol",28
2021-04-19,topic4,"btc, cute, chef, crypto, pretty, greed, april, silver, bistro, good",69
2021-04-04,topic0,"whatshappeninginmyanmar, aprcoup, posted, photo, military, terrorists, junta, abducted, myanmar, amp",405
2021-04-07,topic1,"sun, view, collection, food, sat, women, full, field, available, interpol",55
2021-04-03,topic2,"edwardbarber, like, love, edward, barber, day, good, get, happy, life",732
2021-04-23,topic2,"edwardbarber, like, love, edward, barber, day, good, get, happy, life",569
2021-04-12,topic3,"like, people, amp, see, need, please, get, know, help, really",370
